,created_at,text,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,withheld.copyright,withheld.country_codes
0,2021-12-02T18:43:32.000Z,Elle ne devait pas dégager la nazi ??? https://t.co/NAGVyrhsXy,1466478154604765190,0,0,0,0,,
1,2021-12-02T18:43:30.000Z,je dois faire un oral en anglais sur Hitler et sa propagande pour la section euro ça s’annonce compliquée,1466478146694299664,0,0,0,0,,
2,2021-12-02T18:43:23.000Z,@ambrassmoi_ A ça 🤏 de ressembler à la croix nazi mdrr,1466478117749415948,0,0,0,0,,
3,2021-12-02T18:43:20.000Z,"@Loic44520544 @JeVooZemToos @ambassador_doge @Valeurs 2- mais comment tu fait pour sortir la argument aussi pourri t'accuse un mufti inconnu au bataillons d'avoir eu de bonnes relations avec Hitler pour jeter l'opprobre sur les musulmans, mais n'oublie pas une chose c que les nazis étaient chrétiens.",1466478102738051073,0,0,0,0,,
4,2021-12-02T18:43:01.000Z,"Par curiosité, j’ai voulu écouter les discours longs de Hitler….on en trouve sur internet mais pas sur YouTube.
Et quand on les écoute, on parvient à comprendre comment ce criminel arrivait à séduire les foules.
C’est juste incroyable.",1466478023197302798,0,0,0,0,,
5,2021-12-02T18:42:38.000Z,@tical10 @ExBarcaFan74523 @ConflitsFrance Mdr deux nazi n importe quoi 🤦🏼‍♀️,1466477927789383689,0,0,0,0,,
6,2021-12-02T18:42:11.000Z,"@t_faz @Stupid_Eco Leur démarche est une démarche autoritaire, très de droite :

-tu dis des trucs nazi mais tu leur baises les pieds : aucun soucis frèr, on va t'aider à devenir riche

-tu critiques le fait qu'ils aident les nazis : ils te virent

Chaud leur idéologie, des vrais fachos, rien de +",1466477815994499076,0,0,0,0,,
7,2021-12-02T18:41:15.000Z,"@Henry7525 @oooANONYMEooo @yanber_be @alexvizorek La vision sur les choses du passé changent l'évolution du monde. Mais arrêtez de mettre tous les ""wokes"" dans le même panier en enlevant toute la complexité et la nuance de la réalité. C'est exactement ce que faisait Hitler avec les juifs.",1466477581721649155,0,0,0,0,,
8,2021-12-02T18:41:11.000Z,"Je lis des choses concernant l'absence de Cyril...
Il y a vraiment des abrutis ici !
Je leurs souhaite une crève monumentale, genre une bonne grippe, 8 jours cloués au lit avec un 40°C de fièvre, ou une belle gastro. Ça leurs donnerait une bonne excuse pour faire de la m.... !",1466477562767581193,1,2,3,0,,
9,2021-12-02T18:40:55.000Z,"Un docu très trash qui fait littéralement l’apologie de Hitler ⬇️
Je condamne évidemment Hitler mais je suis curieux et j’aime regarder les trucs trash…..🤷🏻‍♂️

https://t.co/5LTReMDqeL",1466477495579029516,0,0,0,0,,
10,2021-12-02T18:40:38.000Z,"@Abordu83 30 janvier 1933, montée au pouvoir d'Hitler",1466477423797710863,0,0,0,0,,
11,2021-12-02T18:38:45.000Z,c’est soit je roule ou je crève https://t.co/tOSzL5QAIp,1466476952110444553,0,0,0,0,,
12,2021-12-02T18:38:44.000Z,"🐭height: 1.56
👣shoessize: 37
👀zodiac sign: Géminis 
🔞tattos: 0
☮piercings: 0
💌 fav color: negro y coral
🍷fav drink: té de menta
✨3 moots: @marieacomaf @ferr_gomez6 @bbyxblash https://t.co/o2xSBZBB86",1466476944791425027,0,0,0,0,,
13,2021-12-02T18:38:37.000Z,ENCORE ET TOUJOURS le fc drapeau coupe hitler emoji sur les yeux....... faites sauter leurs comptes https://t.co/qYCNTAvgti,1466476915016060932,0,1,1,0,,
14,2021-12-02T18:38:32.000Z,"* Mention tres bien pour Gazon quand elle crie ""fuck me negro mon boule est chanmé""",1466476894744891407,0,0,0,0,,
15,2021-12-02T18:37:51.000Z,@aurelien_veron @Anne_Hidalgo On crève de toutes ces pseudo-associations grassement arrosées par nos cotisations (diverses),1466476724963713040,0,0,0,0,,
16,2021-12-02T18:36:13.000Z,C'est marrant comme le militantisme est toujours bridé par les intérêts personnels,1466476312235810822,0,0,0,0,,
17,2021-12-02T18:36:09.000Z,@Saiphong Oui le concours  du Super Nazi ...Ya du monde sur la ligne de départ.,1466476297576722434,0,0,0,0,,
18,2021-12-02T18:35:01.000Z,"J'ai vu la vidéo de lancement de campagne de Mr Burns, cet homme est un nazi. C'est décidé je vais faire mon retour dans les urnes après 14 ans d'abstinence.",1466476011105796097,0,0,0,0,,
19,2021-12-02T18:34:31.000Z,Je crève de faim mais je cherche une vidéo YouTube avant de manger,1466475887034081280,0,0,0,0,,
20,2021-12-02T18:34:23.000Z,@GWGoldnadel En fait Zemmour est le seul Juif que l'on peut qualifier de nazi sans encourir la désapprobation nationale.,1466475850203865093,0,0,1,0,,
21,2021-12-02T18:34:04.000Z,@RTLPetitMatin @EditionsPlon @JeromeFlorin @michel_mazava Il a pris un nègre pour écrire son bouquin ?,1466475772445696001,0,0,0,0,,
22,2021-12-02T18:32:55.000Z,J’ai envie de crevé je suis là je suis revenu à la maison e je suis désolé https://t.co/qhRnTVx65q,1466475482631843842,0,1,0,0,,
23,2021-12-02T18:32:19.000Z,@AlainPatrickM @CNEWS On le traite à la fois d'antisémite et de nazi...le discours est tellement ambigüe qu'il navigue entre deux eaux.,1466475333100703746,0,0,0,0,,
24,2021-12-02T18:32:18.000Z,@JulienOdoul @ZemmourIer @AlineB_83 @ZemmourEric Pourquoi répond-tu si tu reste calme on voit que tu crève d’envie de rejoindre Zemmour on connaît vos tactique politicienne pas à nous Julien,1466475326175952898,0,0,0,0,,
25,2021-12-02T18:31:46.000Z,Vrai negro j’vesqui les vannessa ✋🏾 https://t.co/yzupaE3MdF,1466475191723307021,0,0,1,0,,
26,2021-12-02T18:31:44.000Z,je vous dit bonsoir..je suis crevé et j'ai une pensée pour tout mes twitous..méme ceux ou celles qui ne m'ont pas donné signe de vie...on a tous nos existences..mais parfois un clin d'oeil de 10 seconde suffit...bises!! https://t.co/Yrh6stRl4F,1466475184869761026,0,2,3,0,,
27,2021-12-02T18:31:40.000Z,@___flemme___ Tu n’as plus le negro pass désolé,1466475169862631425,0,0,1,0,,
28,2021-12-02T18:31:32.000Z,"@ActusNonStop Rassurez moi, c'est pour leur bien, n'est ce pas ? On sait que vaccinés comme non vaccinés contaminent. Donc ce n'est pas sanitaire. Mais au moins pour leur bien. Hitler, non?",1466475136022888450,0,0,0,0,,
29,2021-12-02T18:31:13.000Z,"@forcerose La guerr est finie depuis 60 qu'est ce que vous nous emmerder a parler de nazi sans déconné, va en Russie ou en Allemagne tu en trouveras peut-etre mais fait pas croire au gens que c'est le cas en France (en tout cas pas comme tu le dis)",1466475055995625483,0,0,1,0,,
30,2021-12-02T18:30:49.000Z,Voilà qui a chopé la crève ! https://t.co/bfEGuSy4Zg,1466474952165629959,0,0,0,0,,
31,2021-12-02T18:30:15.000Z,"@cemhkl @DeTroie_ @icihoward @Payno_Alison Ses idées sont pas globalement fausses mec, Paxton dit que Pétain c’est Hitler et qu’il a tuer des juifs et sauver aucun, Zemmour dit que pétain a échanger les juifs étrangers contre les juifs français alors oui moralement c’est abominable mais il laisser",1466474812830892037,0,1,0,0,,
32,2021-12-02T18:29:49.000Z,@___flemme___ Wahhhhh ce negro est blanc!!!!!,1466474701950226435,0,1,1,0,,
33,2021-12-02T18:29:34.000Z,"Nous savons tous, sans exception, qu'Eric Zemmour n'est pas le nazi que cette meute politique bien pensante, soutenue par les medias aux bottes, s'attache à dépeindre. Leur hypocrisie les a déjà disqualifiés. https://t.co/CNcIuVe1Jf",1466474639345991681,0,0,0,0,,
34,2021-12-02T18:29:01.000Z,"@24hPujadas @Jerome_Jaffre Droitisation c'est un moindre mot...
Il faut parler de ""fascisation"" pour ne pas dire "" nazi.....tion""",1466474502272045058,0,0,0,0,,
35,2021-12-02T18:28:58.000Z,"@54_nounours Comme me l’a dit un allemand un jour, Hitler a tué 6 millions de juifs, alors qu’il aurait pu dominer le monde avec eux à ses côtés. N’essayez pas de penser à la place des fous.",1466474488820908036,0,1,0,0,,
36,2021-12-02T18:28:43.000Z,"Avec la mairie de Paris, ami banlieusard, le message est simple : pédale ou crève 🚲 https://t.co/ckh39BeHhg",1466474424555745282,6,4,17,0,,
37,2021-12-02T18:28:41.000Z,@petaramesh J’ai appris ce mot en lisant l’autobiographie d’une femme qui a subi les camps de concentration nazi,1466474416162971650,0,1,0,0,,
38,2021-12-02T18:28:18.000Z,@DavidMn03637745 @ValRobert974 Je fais ça je crève direct ⚰️,1466474320541143040,0,0,0,0,,
39,2021-12-02T18:28:11.000Z,vous avez vu en france les gov fiotise c est eux qui  disent O ¨PEUPLES  qui sont lesprit french ?  alors qui ne sont pas french  dans ces gov FIOTTISE une femme une negre de maison  qui jouait la clown en dansant et qui chantais  je veux etre blanche  espice di conasse toute https://t.co/ooRicH44a8,1466474290992320513,1,1,0,0,,
40,2021-12-02T18:27:54.000Z,suis en train de chopper la crève envie de mourir là,1466474218531479552,0,1,1,0,,
41,2021-12-02T18:27:27.000Z,"@Yoann_IV HITLER a échoué uniquement parce que
ses idées n'étaient pas partagées partout dans le monde

Aujourd'hui , tous les dirigeants politiques ont ordre d'appliquer les directives du Dr Klaus SCHWAB
Sinon , c'est l'attentat assuré #Madagascar #Haïti 
contre eux
#Force et #Honneur",1466474108082954246,0,0,0,0,,
42,2021-12-02T18:27:19.000Z,"@EPeuplu @FavreZian Imagine juste un rat.
Crevé 
Le con de rat
Un de moins pour toi!
Attend c'est un poème en fait le mec 
Ils aiment les bretons par contre c'est bien
Certainement pas les autres vallées 
(On se déteste de vallée  à vallée..les soucis de QI c etait pas que le manque d iode hein...) https://t.co/iiNKri5rlf",1466474072896851970,0,1,1,1,,
43,2021-12-02T18:26:20.000Z,"Alors pourquoi a-t-il été conçu?
https://t.co/ytoHlmnlUM",1466473825898582024,1,0,0,0,,
44,2021-12-02T18:25:58.000Z,@Diddy02G Mon negro j’te parle de survêtement Nike ce genre de chose man,1466473734873698306,0,0,0,0,,
45,2021-12-02T18:25:53.000Z,"@idrissaberkane Absolument et pour pouvoir discriminer puis exterminer des millions de Juifs, Tziganes, vieillards, handicapés, opposants, sans que la population Allemande n'en soit choquée et l'accepte, Hitler leur a fait croire à une épidémie de Tiphus propagée soit disant par les Juifs d'🇪🇺 !",1466473712098631681,0,0,0,0,,
46,2021-12-02T18:25:41.000Z,"J'ai jamais vu Hinti dribbler, au pire je crève https://t.co/RwTP6ADU9x",1466473663528685578,0,0,0,0,,
47,2021-12-02T18:25:34.000Z,"@zemacplayer ils auraient pu attendre les patch next gen quand même, alors ok la il y a une petite hype parce que promo mais quand même c'est fait vraiment crève la dalle",1466473631450603521,0,0,0,0,,
