,Cleaned Tweets,Classement,Predicition_LR
2285,c est une criminelle à la hauteur d adolf hitler elle représente clairement le iv reich les mêmes personnes la financent elle son mari et tous les sbires du great reset,1,0
2290,purée mais les gens   reveillez vous  ces phrases là sont les mêmes que disaient hitler et pétain  ce type est une gangrène qui veut juste le pouvoir car il est mégalomane  il a vendu son livre   il voulait le buzz rien de plus  vos problèmes de prolo désespérés il s en tape ,1,0
2292,hamdullilah non merci  le negro est riche comme omar sy,1,0
2300,je rassure je ne suis ni de droite ni de gauche pour moi tous les politiciens sont des espèce de gros connard d enculé mais je fais quand même attention aux personnes qui sont dangereuses et oui il me fait vraiment penser à hitler,1,0
2301,je suis allé voir son profil  il manque que la croix nazi  pauvre gamin   ,1,0
2302,bon a priori je suis nul comme médium car dans sa vidéo du jour riri la praline dit que les dons ne suffiraient pas  en même temps ils sont douze dans l équipe  ce qui est assez hallucinant vu le niveau général du bouzin  ,1,0
2303,dingue ces nazis plus nazi que leur chef ,1,0
2310,il n est pas démocrate ce type il est nazi,1,0
2312,t es là ton mari c est un jambon beur tu sors un enfant bien mafe bien tiep  cri encore,1,0
2318,espèce nazi  jodido   lâche    quand tu auras les huevos  couilles  tu réponds  mais pas sous l anonymat  ,1,0
2321,encore un fachos néo nazi qui défend le crapaud de zemmour vive macron ces lui le prochain président on va tout faire,1,0
2323,ça vous étonne  n oubliez pas que la gauche est le parti le plus faschisant  il me semble bien que hitler était socialiste,1,0
2324,oh la carte bien de droite bien nazi,1,0
2328, coma nn ça meuf c jenre une noich ou truc com sa,1,0
2331,on parle de joséphine baker là  diva glamour à l époque   beyoncé est définitivement féministe  la négritude à tout à voir avec la revue nègre  artistes afros qui fuyaient la ségrégation ainsi que les francophones   présence africaine   instruis toi    ,1,0
2336,le negro est plus beau que moi,1,0
2346, acker pour moi sa ressemble plus à un âne au temps de hitler il serait un collabo   ,1,0
2348,tu te bats pour intégrer le gign pour qu un nègre t harcèle  terrible,1,0
2351,mais y a pas un peu trop de négro la dans le 11 du psg  mdrr,1,0
2353,raciste mais elle s est faite soulever par un negro vraiment,1,0
2355,la digne fille d hitler,1,0
2356,voilà pourquoi dadju sera tjr en avant sur ce negro  ,1,0
2357,wayow qu il crève dans sa misogynie,1,0
2359,qui sont les sale race   les gens qui te propose des frite bien sûr  pourquoi vous proposer pas le sandwich bande de chien  on veut du sandwich,1,0
2365,voter macron il faut vraiment être c n votez le peuple c est la voie de la raison pensez au mutilé à vie au yeux crevé au main arracher et la dictature que veut nous imposez ce dictateur en couche culotte il insulte le peuple et la nation il nous à trahi  ,1,0
2366,qu il creve ce cafard     bon rétablissement à ce policier  ,1,0
2369,des gouts de beur,1,0
2370,pire les états tuent leur propre peuple en les faisant retomber ds l allemagne nazi des années 40,1,0
2371,biensûre en 40 ils voulaient une europe nazi aujourd hui c sur le point d aboutir enfin,1,0
2372,y a un negro de mon snap il souhaite bonne anniversaire que aux filles mdr ça m fume,1,0
2373,zemmour fait peur comme hitler faisait peur en 1933,1,0
2376,quel négro lui a brisé le cœur,1,0
2377,ça se respecte si on voit la chose de cette façon  pas de la manière dont le negro tourne le truc  tu sens qu il veut juste se faire bien voir par les femmes,1,0
2388, le non mais à la base  je voulais me changer de z le maudit   tout ça pour me taper un autre nazi ,1,0
2393, philippot bonjour le nazi,1,0
2400,noir comme le poro   on va faire du sal comme jackie chan   rdv le 7    aka  ,1,0
2414,un champion qui a coché presque toutes les cases  la conclusion aurait été parfaite s il avait dit  comme je suis de race blanche  je ne devrais même pas avoir le droit de vivre sur terre car les blancs sont intrinsèquement néo nazi ,1,0
2416,je rêve ou tu viens de me trziter de sale bougnoul de mvrde,1,0
2418,comment reconnaître un  fachiste d un  nazi   c est facile  le fachiste préfère la copie à l original le nazi préfère l original à la copie,1,0
2420,elle a exploité et elle exploite sa faiblesse comme jamais     majib tfacon c est un negro fragile voilà c est dit  ,1,0
2425,temps nazi mordene bien non c est normal content que ma femme a mis sont pass au vidange la même journée,1,0
2428, peltier et hop encore un petit nazi  ,1,0
2430,les talat et les toubab qui me suivent si ils attendent que je follow back   jamais wsh black people only here,1,0
2431,avec des milliers de faux inscrits  et la fuite  le couard nazi a la trouille de paris ,1,0
2435,zemmour dénonce l islamisation de la france   c est un nazi   l islamisme crée des sociétés infâmes   c est inhumain  dans votre cas on hésite entre bêtise et lâcheté  mais réflexion faite  vous semblez plutôt intelligent ,1,0
2437,horrible nazi femelle     commission  nurembergcode,1,0
2439, rmc vu les réactions de zemmour il est narcissique comme hitler l était    et ça fait peur   ,1,0
2447, am off des milliers de faux inscrits  le couard nazi a peur de paris ,1,0
2450,nazi normal,1,0
2451,faut savoir qu on pourrait faire le parallèle entre zemmour aujourd hui et hitler en 30 hein,1,0
2453,des milliers de faux inscrits par mail  le couard nazi fuit paris  il a la trouille ,1,0
2457,en fin de compte hitler nous revient et il faut rien dire le vrai sujet c est que ton zemmour personne n en veut même les bretons le disent c est quoi cet énergumène qui se prend pour mussolini    ,1,0
2464,interdit au homoxeulle ces gen là st pa comme ls autre faut les foutre en taule ou les foutre ds une tombe mai arrêter de monter des gens comme sa a la tv fau tuer tou les homoxeulle ce des sale race de merde,1,0
2470,qu emmanuelle ducros passe son temps à débiter du bouzin indigne du journalisme de base est une chose  ce qui m embête  c est la cohorte de gens  pourtant pas tous diminués intellectuellement  à gober ses sorties à pleine bouche ,1,0
2471,il va surtout falloir qu il réalise  qu il est pas partout sur le plateau de cniouzes et qu il n y aura pas tout le temps papa pascal et maman christine pour lui torcher son p ti fessier de nazi ,1,0
2473,fatma elle a crié comme un dinosaure pour m interpeller,1,0
2479,j espère pour ce grand renoi qu il ne dechantera pas quand ses amis de bord politique le traiterons de negre mdr,1,0
2481, azuuucar si tu n aimes pas la martinique c est toi que ça regarde mais laisse mon peuple s il te plaît   franchement les soumis cassez vous et taisez vous   nos ancêtres ont vécu pire et ils se sont battus   donc a tout les negre d intérieur restez au chaud allongé pré du maître merci  ,1,0
2487,sksks remember quand on s est pris la tête avec un neo nazi sur twi       ,1,0
2490,merci pour tes bons conseils  et encore je ne t ai pas parlé de l épisode avec le nazi    wouai je sais  ça vend du rêve  ,1,0
2493,question suivante negro,1,0
2494,hitler le sioniste réel aussi,1,0
2501,demande leur un lsd sur toi negro mdr,1,0
2502, lucide  off  thomas la légion arabe libre qui a combattupour les nazi  c est quoi  les mecs sont vraiment des baiseurs de bourricot  ils ne connaissent pas leur histoire ,1,0
2506,tous les jours on doit éponger la honte  tous les jours  le pire c est que le nègre derrière essaie vraiment d apaiser la situation or on vient d insulter tout son peuple     ,1,0
2508,va voler une manette et jte donne mon slot sal arabe,1,0
2509, shogun mdddr un hitler de wish,1,0
