avis1;text;id
1;Elle ne devait pas dégager la nazi ??? https://t.co/NAGVyrhsXy;1466478154604765190
0;je dois faire un oral en anglais sur Hitler et sa propagande pour la section euro ça s’annonce compliquée;1466478146694299664
0;@ambrassmoi_ A ça 🤏 de ressembler à la croix nazi mdrr;1466478117749415948
0;"Par curiosité, j’ai voulu écouter les discours longs de Hitler….on en trouve sur internet mais pas sur YouTube.
Et quand on les écoute, on parvient à comprendre comment ce criminel arrivait à séduire les foules.
C’est juste incroyable.";1466478023197302798
1;@tical10 @ExBarcaFan74523 @ConflitsFrance Mdr deux nazi n importe quoi 🤦🏼‍♀️;1466477927789383689
0;"@Henry7525 @oooANONYMEooo @yanber_be @alexvizorek La vision sur les choses du passé changent l'évolution du monde. Mais arrêtez de mettre tous les ""wokes"" dans le même panier en enlevant toute la complexité et la nuance de la réalité. C'est exactement ce que faisait Hitler avec les juifs.";1466477581721649155
0;"Je lis des choses concernant l'absence de Cyril...
Il y a vraiment des abrutis ici !
Je leurs souhaite une crève monumentale, genre une bonne grippe, 8 jours cloués au lit avec un 40°C de fièvre, ou une belle gastro. Ça leurs donnerait une bonne excuse pour faire de la m.... !";1466477562767581193
0;"Un docu très trash qui fait littéralement l’apologie de Hitler ⬇️
Je condamne évidemment Hitler mais je suis curieux et j’aime regarder les trucs trash…..🤷🏻‍♂️

https://t.co/5LTReMDqeL";1466477495579029516
0;@Abordu83 30 janvier 1933, montée au pouvoir d'Hitler;1466477423797710863
0;c’est soit je roule ou je crève https://t.co/tOSzL5QAIp;1466476952110444553
0;C'est marrant comme le militantisme est toujours bridé par les intérêts personnels;1466476312235810822
0;@Saiphong Oui le concours  du Super Nazi ...Ya du monde sur la ligne de départ.;1466476297576722434
1;J'ai vu la vidéo de lancement de campagne de Mr Burns, cet homme est un nazi. C'est décidé je vais faire mon retour dans les urnes après 14 ans d'abstinence.;1466476011105796097
0;Je crève de faim mais je cherche une vidéo YouTube avant de manger;1466475887034081280
1;@GWGoldnadel En fait Zemmour est le seul Juif que l'on peut qualifier de nazi sans encourir la désapprobation nationale.;1466475850203865093
1;@RTLPetitMatin @EditionsPlon @JeromeFlorin @michel_mazava Il a pris un nègre pour écrire son bouquin ?;1466475772445696001
0;J’ai envie de crevé je suis là je suis revenu à la maison e je suis désolé https://t.co/qhRnTVx65q;1466475482631843842
0;@JulienOdoul @ZemmourIer @AlineB_83 @ZemmourEric Pourquoi répond-tu si tu reste calme on voit que tu crève d’envie de rejoindre Zemmour on connaît vos tactique politicienne pas à nous Julien;1466475326175952898
1;Vrai negro j’vesqui les vannessa ✋🏾 https://t.co/yzupaE3MdF;1466475191723307021
0;je vous dit bonsoir..je suis crevé et j'ai une pensée pour tout mes twitous..méme ceux ou celles qui ne m'ont pas donné signe de vie...on a tous nos existences..mais parfois un clin d'oeil de 10 seconde suffit...bises!! https://t.co/Yrh6stRl4F;1466475184869761026
1;@___flemme___ Tu n’as plus le negro pass désolé;1466475169862631425
0;@ActusNonStop Rassurez moi, c'est pour leur bien, n'est ce pas ? On sait que vaccinés comme non vaccinés contaminent. Donc ce n'est pas sanitaire. Mais au moins pour leur bien. Hitler, non?;1466475136022888450
0;Voilà qui a chopé la crève ! https://t.co/bfEGuSy4Zg;1466474952165629959
0;@cemhkl @DeTroie_ @icihoward @Payno_Alison Ses idées sont pas globalement fausses mec, Paxton dit que Pétain c’est Hitler et qu’il a tuer des juifs et sauver aucun, Zemmour dit que pétain a échanger les juifs étrangers contre les juifs français alors oui moralement c’est abominable mais il laisser;1466474812830892037
