,Cleaned Tweets,Classement,Predicition_LR
2285,c est une criminelle à la hauteur d adolf hitler elle représente clairement le iv reich les mêmes personnes la financent elle son mari et tous les sbires du great reset,1,0
2290,purée mais les gens   reveillez vous  ces phrases là sont les mêmes que disaient hitler et pétain  ce type est une gangrène qui veut juste le pouvoir car il est mégalomane  il a vendu son livre   il voulait le buzz rien de plus  vos problèmes de prolo désespérés il s en tape ,1,0
2292,hamdullilah non merci  le negro est riche comme omar sy,1,0
2300,je rassure je ne suis ni de droite ni de gauche pour moi tous les politiciens sont des espèce de gros connard d enculé mais je fais quand même attention aux personnes qui sont dangereuses et oui il me fait vraiment penser à hitler,1,0
2301,je suis allé voir son profil  il manque que la croix nazi  pauvre gamin   ,1,0
2302,bon a priori je suis nul comme médium car dans sa vidéo du jour riri la praline dit que les dons ne suffiraient pas  en même temps ils sont douze dans l équipe  ce qui est assez hallucinant vu le niveau général du bouzin  ,1,0
2323,ça vous étonne  n oubliez pas que la gauche est le parti le plus faschisant  il me semble bien que hitler était socialiste,1,0
2324,oh la carte bien de droite bien nazi,1,0
2328, coma nn ça meuf c jenre une noich ou truc com sa,1,0
2348,tu te bats pour intégrer le gign pour qu un nègre t harcèle  terrible,1,0
2351,mais y a pas un peu trop de négro la dans le 11 du psg  mdrr,1,0
2353,raciste mais elle s est faite soulever par un negro vraiment,1,0
2355,la digne fille d hitler,1,0
2356,voilà pourquoi dadju sera tjr en avant sur ce negro  ,1,0
2365,voter macron il faut vraiment être c n votez le peuple c est la voie de la raison pensez au mutilé à vie au yeux crevé au main arracher et la dictature que veut nous imposez ce dictateur en couche culotte il insulte le peuple et la nation il nous à trahi  ,1,0
2366,qu il creve ce cafard     bon rétablissement à ce policier  ,1,0
2369,des gouts de beur,1,0
2370,pire les états tuent leur propre peuple en les faisant retomber ds l allemagne nazi des années 40,1,0
2371,biensûre en 40 ils voulaient une europe nazi aujourd hui c sur le point d aboutir enfin,1,0
2372,y a un negro de mon snap il souhaite bonne anniversaire que aux filles mdr ça m fume,1,0
2373,zemmour fait peur comme hitler faisait peur en 1933,1,0
2376,quel négro lui a brisé le cœur,1,0
2377,ça se respecte si on voit la chose de cette façon  pas de la manière dont le negro tourne le truc  tu sens qu il veut juste se faire bien voir par les femmes,1,0
2388, le non mais à la base  je voulais me changer de z le maudit   tout ça pour me taper un autre nazi ,1,0
2393, philippot bonjour le nazi,1,0
2416,je rêve ou tu viens de me trziter de sale bougnoul de mvrde,1,0
2425,temps nazi mordene bien non c est normal content que ma femme a mis sont pass au vidange la même journée,1,0
2431,avec des milliers de faux inscrits  et la fuite  le couard nazi a la trouille de paris ,1,0
2435,zemmour dénonce l islamisation de la france   c est un nazi   l islamisme crée des sociétés infâmes   c est inhumain  dans votre cas on hésite entre bêtise et lâcheté  mais réflexion faite  vous semblez plutôt intelligent ,1,0
2437,horrible nazi femelle     commission  nurembergcode,1,0
2451,faut savoir qu on pourrait faire le parallèle entre zemmour aujourd hui et hitler en 30 hein,1,0
2453,des milliers de faux inscrits par mail  le couard nazi fuit paris  il a la trouille ,1,0
2457,en fin de compte hitler nous revient et il faut rien dire le vrai sujet c est que ton zemmour personne n en veut même les bretons le disent c est quoi cet énergumène qui se prend pour mussolini    ,1,0
2464,interdit au homoxeulle ces gen là st pa comme ls autre faut les foutre en taule ou les foutre ds une tombe mai arrêter de monter des gens comme sa a la tv fau tuer tou les homoxeulle ce des sale race de merde,1,0
2470,qu emmanuelle ducros passe son temps à débiter du bouzin indigne du journalisme de base est une chose  ce qui m embête  c est la cohorte de gens  pourtant pas tous diminués intellectuellement  à gober ses sorties à pleine bouche ,1,0
2471,il va surtout falloir qu il réalise  qu il est pas partout sur le plateau de cniouzes et qu il n y aura pas tout le temps papa pascal et maman christine pour lui torcher son p ti fessier de nazi ,1,0
2473,fatma elle a crié comme un dinosaure pour m interpeller,1,0
2479,j espère pour ce grand renoi qu il ne dechantera pas quand ses amis de bord politique le traiterons de negre mdr,1,0
2487,sksks remember quand on s est pris la tête avec un neo nazi sur twi       ,1,0
2494,hitler le sioniste réel aussi,1,0
2501,demande leur un lsd sur toi negro mdr,1,0
2502, lucide  off  thomas la légion arabe libre qui a combattupour les nazi  c est quoi  les mecs sont vraiment des baiseurs de bourricot  ils ne connaissent pas leur histoire ,1,0
2506,tous les jours on doit éponger la honte  tous les jours  le pire c est que le nègre derrière essaie vraiment d apaiser la situation or on vient d insulter tout son peuple     ,1,0
2511,un bon boulot de noich on t reverra libre dans 3 ans,1,0
2517, nazis  4emereich  novaxisthenewjew on a un champion du monde  bien formaté comme il faut  je demande un tonnerre d applaudissements svp  bravo le nazi   ,1,0
2524,ok le néo nazi,1,0
2525,en france c est bizarre quand ça touche une personne  macron en hitler  il y a des sanctions mais quand ça touche des millions de gens rien  liberté de blasphème       tpmp,1,0
2528, philippot et on fait quoi de ceux qui ne voudront pas se vacciner quand même   on les envoie dans des camps de la mort   sale nazi ,1,0
2532, sebti quand une personne de couleur ne se victimise pas et aime la france c est une sorte de  negre de maison  pour diallo et ses amis  je la cite  les performances de l artiste honorée  feraient  partie du plan qui a façonné l image de la femme noire dans l imagination française ,1,0
2535,voiture allemande comme hitler   ,1,0
2539, rigo9 oui  et moi je bousille le tour de france  pas à moi faux negre,1,0
2542, thomas tu représentes qui   tu n es qu une pauvre cloche fasciste  comme mussolini et hitler tes ancêtres gauchistes avec qui tes paires socialistes ont collaborés  ,1,0
2545,mais la page ne s est jamais tourné on est dirigé par ces même riches oligarque qui ont financé hitler et l allemagne nazi  ,1,0
2546,oui  il faut bien éviter de dédiaboliser l extrême droite  mais l humour peut être une arme efficace  se moquer d eux les montre tels qu ils sont vraiment  des gens ridicules   comme jojo rabbit l a fait avec hitler  malgré tout bien sûr il faut éviter de dédramatiser leur menace,1,0
2548,autre chose dont vous passer sous silence  ou pire vous l ignorer   hitler avait des sections ss musulmanes  a bon entendeur  ,1,0
2552,tu es un fasciste donc je t interdit  et après c est gens la critique poutine de dictateur  d ailleurs je crois que le dernier européen qui voulais faire taire son opposants s appelait adolf hitler  aujourd hui ils s appelle  bechieau    ,1,0
2563, tarissi ne vous donnez pas tant d importance  votre ego est déjà assez enflé  on peut juste observer une convergence des visions  nazi,1,0
2574, yass arrêtez d insulter hitler  quoiqu il ait fait personne ne mérite d être comparé à ces cloportes gauchistes,1,0
2580,et le nazi il est ou ,1,0
2581,support de canne à pêche noir encastré h250mm d40mm au meilleur prix,1,0
2582,quelle sous merde illégitime et nazi cette,1,0
2590,a chaque fois que je vois un negro rejoindre telegram sa me fume je suis obligé de capturer,1,0
